,student_id,step,state,action,reward,done,info
0,0,0,[1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 8 4 0 1 0 0],4,0,False,"{'narrative_state': array([1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,
       0, 1, 4, 8, 4, 0, 1, 0, 0]), 'narrative_action': 4}"
1,0,1,"[ 8  1  0  0  0  0  0  7 17 20  1  5  3  4  1  0  0  1  0  0  3  0  0  1
  4  8 67  0  0  1  0]",5,0,False,"{'narrative_state': array([ 8,  1,  0,  0,  0,  0,  0,  7, 17, 20,  1,  5,  3,  4,  1,  0,  0,
        1,  0,  0,  3,  0,  0,  1,  4,  8, 67,  0,  0,  1,  0]), 'narrative_action': 5}"
2,0,2,"[ 12   3   0   4   0   0   1  13  36  30   3  10   6   8   2   0   2   1
   0   0   0   1   0   1   4   8 130   0   0   1   0]",6,0,False,"{'narrative_state': array([ 12,   3,   0,   4,   0,   0,   1,  13,  36,  30,   3,  10,   6,
         8,   2,   0,   2,   1,   0,   0,   0,   1,   0,   1,   4,   8,
       130,   0,   0,   1,   0]), 'narrative_action': 6}"
3,0,3,"[ 14   3   0   4   0   0   2  14  40  31   4  12   6  10   3   0   2   1
   0   0   0   2   0   1   4   8 145   0   0   1   0]",5,0,False,"{'narrative_state': array([ 14,   3,   0,   4,   0,   0,   2,  14,  40,  31,   4,  12,   6,
        10,   3,   0,   2,   1,   0,   0,   0,   2,   0,   1,   4,   8,
       145,   0,   0,   1,   0]), 'narrative_action': 5}"
4,0,4,"[ 19   4   0   5   0   0   3  21  58  35   8  14  10  20   3   1   3   1
   0   0   0   1   0   1   4   8 204   1   0   0   0]",0,0,False,"{'narrative_state': array([ 19,   4,   0,   5,   0,   0,   3,  21,  58,  35,   8,  14,  10,
        20,   3,   1,   3,   1,   0,   0,   0,   1,   0,   1,   4,   8,
       204,   1,   0,   0,   0]), 'narrative_action': 0}"
5,0,5,"[ 22   5   0   6   0   0   3  24  62  36   9  16  10  21   4   1   5   1
   0   1   0   0   0   1   4   8 224   0   0   1   0]",5,0,False,"{'narrative_state': array([ 22,   5,   0,   6,   0,   0,   3,  24,  62,  36,   9,  16,  10,
        21,   4,   1,   5,   1,   0,   1,   0,   0,   0,   1,   4,   8,
       224,   0,   0,   1,   0]), 'narrative_action': 5}"
6,0,6,"[ 23   5   0   6   1   0   3  28  64  43   9  17  11  25   5   1   6   1
   0   0   0   1   0   1   4   8 247   0   0   1   0]",6,0,False,"{'narrative_state': array([ 23,   5,   0,   6,   1,   0,   3,  28,  64,  43,   9,  17,  11,
        25,   5,   1,   6,   1,   0,   0,   0,   1,   0,   1,   4,   8,
       247,   0,   0,   1,   0]), 'narrative_action': 6}"
7,0,7,"[ 27   6   0   6   2   0   4  31  76  44  11  21  14  27   6   1   6   1
   0   0   0   2   0   1   4   8 282   0   0   1   0]",5,0,False,"{'narrative_state': array([ 27,   6,   0,   6,   2,   0,   4,  31,  76,  44,  11,  21,  14,
        27,   6,   1,   6,   1,   0,   0,   0,   2,   0,   1,   4,   8,
       282,   0,   0,   1,   0]), 'narrative_action': 5}"
8,0,8,"[ 28   6   0   6   3   0   4  33  80  45  11  23  15  28   7   1   6   1
   0   0   0   1   0   1   4   8 296   0   0   1   0]",5,0,False,"{'narrative_state': array([ 28,   6,   0,   6,   3,   0,   4,  33,  80,  45,  11,  23,  15,
        28,   7,   1,   6,   1,   0,   0,   0,   1,   0,   1,   4,   8,
       296,   0,   0,   1,   0]), 'narrative_action': 5}"
9,0,9,"[ 28   6   0   7   3   0   4  38  81  47  12  24  17  32   8   1   6   1
   0   0   0   1   0   1   4   8 314   0   0   1   0]",6,0,False,"{'narrative_state': array([ 28,   6,   0,   7,   3,   0,   4,  38,  81,  47,  12,  24,  17,
        32,   8,   1,   6,   1,   0,   0,   0,   1,   0,   1,   4,   8,
       314,   0,   0,   1,   0]), 'narrative_action': 6}"
